inputs;outputs
0.0, 0.6419180201082754, 0.6398140975987606, 0.8853601859024013, 0.0030935808197989174, 0.04331013147718484, 0.9636363636363636, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;0.0, 0.0, 0.0, 1.0
0.0, 0.6411446249033256, 0.6398140975987606, 0.8853601859024013, 0.002320185614849188, 0.042536736272235115, 0.9636363636363636, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;0.0, 0.0, 0.0, 1.0
0.0, 0.6403712296983759, 0.6398140975987606, 0.8853601859024013, 0.0015467904098994587, 0.04176334106728538, 0.9636363636363636, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;0.0, 0.0, 0.0, 1.0
0.0, 0.6395978344934261, 0.6398140975987606, 0.8853601859024013, 7.733952049497294E-4, 0.040989945862335654, 0.9636363636363636, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;0.0, 0.0, 0.0, 1.0
0.0, 0.6388244392884764, 0.6367157242447715, 0.8853601859024013, 0.0030935808197989174, 0.04021655065738593, 0.9590909090909091, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;0.0, 0.0, 0.0, 1.0
0.0, 0.6380510440835266, 0.6367157242447715, 0.8853601859024013, 0.002320185614849188, 0.03944315545243619, 0.9590909090909091, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;0.0, 0.0, 0.0, 1.0
0.0, 0.637277648878577, 0.6367157242447715, 0.8853601859024013, 0.0015467904098994587, 0.038669760247486466, 0.9590909090909091, 1.0, 0.0, 0.0, 0.0, 0.0, 0.06805877803557618, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;0.0, 0.0, 0.0, 1.0
0.0, 0.6365042536736272, 0.6367157242447715, 0.8853601859024013, 7.733952049497294E-4, 0.03789636504253674, 0.9590909090909091, 1.0, 0.0, 0.0, 0.0, 0.0, 0.06805877803557618, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;0.0, 0.0, 0.0, 1.0
0.0, 0.6349574632637278, 0.6336173508907823, 0.8853601859024013, 0.002320185614849188, 0.03634957463263728, 0.9545454545454546, 1.0, 0.0, 0.0, 0.0, 0.0, 0.06651198762567673, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;0.0, 0.0, 0.0, 1.0
0.0, 0.634184068058778, 0.6336173508907823, 0.8853601859024013, 0.0015467904098994587, 0.03557617942768755, 0.9545454545454546, 1.0, 0.0, 0.0, 0.0, 0.0, 0.06496519721577726, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;0.0, 0.0, 0.0, 1.0
0.0, 0.6334106728538283, 0.6336173508907823, 0.8853601859024013, 7.733952049497294E-4, 0.03480278422273782, 0.9545454545454546, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0634184068058778, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;1.0, 0.0, 0.0, 0.0
0.0, 0.6326372776488786, 0.6305189775367932, 0.8853601859024013, 0.0030935808197989174, 0.03402938901778809, 0.95, 1.0, 0.0, 0.0, 0.0, 0.0, 0.061871616395978345, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;1.0, 0.0, 0.0, 0.0
0.0, 0.6318638824439289, 0.6305189775367932, 0.8853601859024013, 0.002320185614849188, 0.033255993812838364, 0.95, 1.0, 0.0, 0.0, 0.0, 0.0, 0.060324825986078884, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;1.0, 0.0, 0.0, 0.0
0.0, 0.6310904872389791, 0.6305189775367932, 0.8853601859024013, 0.0015467904098994587, 0.03248259860788863, 0.95, 1.0, 0.0, 0.0, 0.0, 0.0, 0.05877803557617943, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;1.0, 0.0, 0.0, 0.0
0.0, 0.6303170920340294, 0.6305189775367932, 0.8853601859024013, 7.733952049497294E-4, 0.0317092034029389, 0.95, 1.0, 0.0, 0.0, 0.0, 0.0, 0.05723124516627997, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;1.0, 0.0, 0.0, 0.0
0.0, 0.6295436968290796, 0.627420604182804, 0.8853601859024013, 0.0030935808197989174, 0.030935808197989172, 0.9454545454545454, 1.0, 0.0, 0.0, 0.0, 0.0, 0.05568445475638051, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;1.0, 0.0, 0.0, 0.0
0.0, 0.62877030162413, 0.627420604182804, 0.8853601859024013, 0.002320185614849188, 0.030162412993039442, 0.9454545454545454, 1.0, 0.0, 0.0, 0.0, 0.0, 0.054137664346481054, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;1.0, 0.0, 0.0, 0.0
0.0, 0.6279969064191802, 0.627420604182804, 0.8853601859024013, 0.0015467904098994587, 0.029389017788089715, 0.9454545454545454, 1.0, 0.0, 0.0, 0.0, 0.0, 0.05259087393658159, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;1.0, 0.0, 0.0, 0.0
0.0, 0.6272235112142305, 0.627420604182804, 0.8853601859024013, 7.733952049497294E-4, 0.028615622583139984, 0.9454545454545454, 1.0, 0.0, 0.0, 0.0, 0.0, 0.05104408352668213, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;1.0, 0.0, 0.0, 0.0
0.0, 0.6264501160092807, 0.6150271107668474, 0.8853601859024013, 0.0030935808197989174, 0.027842227378190254, 0.9409090909090909, 1.0, 0.0, 0.0, 0.0, 0.0, 0.04949729311678268, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.6233565351894819, 0.6150271107668474, 0.8853601859024013, 0.002320185614849188, 0.028615622583139984, 0.9409090909090909, 1.0, 0.0, 0.0, 0.0, 0.0, 0.04795050270688322, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.6202629543696829, 0.6150271107668474, 0.8853601859024013, 0.0015467904098994587, 0.029389017788089715, 0.9409090909090909, 1.0, 0.0, 0.0, 0.0, 0.0, 0.04640371229698376, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.617169373549884, 0.6150271107668474, 0.8853601859024013, 7.733952049497294E-4, 0.030162412993039442, 0.9409090909090909, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0448569218870843, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.6140757927300851, 0.6026336173508908, 0.8853601859024013, 0.0030935808197989174, 0.030935808197989172, 0.9363636363636364, 1.0, 0.0, 0.0, 0.0, 0.0, 0.04331013147718484, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.6109822119102861, 0.6026336173508908, 0.8853601859024013, 0.002320185614849188, 0.0317092034029389, 0.9363636363636364, 1.0, 0.0, 0.0, 0.0, 0.0, 0.04176334106728538, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.6078886310904872, 0.6026336173508908, 0.8853601859024013, 0.0015467904098994587, 0.03248259860788863, 0.9363636363636364, 1.0, 0.0, 0.0, 0.0, 0.0, 0.04021655065738593, -7.733952049497294E-4, 0.05568445475638051, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.6047950502706884, 0.6026336173508908, 0.8853601859024013, 7.733952049497294E-4, 0.033255993812838364, 0.9363636363636364, 1.0, 0.0, 0.0, 0.0, 0.0, 0.038669760247486466, -7.733952049497294E-4, 0.054137664346481054, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.6017014694508894, 0.5352439969016266, 0.8853601859024013, 0.0030935808197989174, 0.03402938901778809, 0.9318181818181818, 1.0, 0.0, 0.0, 0.0, 0.0, 0.037122969837587005, -7.733952049497294E-4, 0.05259087393658159, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.5986078886310905, 0.5352439969016266, 0.8853601859024013, 0.002320185614849188, 0.03480278422273782, 0.9318181818181818, 1.0, 0.0, 0.0, 0.0, 0.0, 0.03557617942768755, -7.733952049497294E-4, 0.05104408352668213, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.5955143078112916, 0.5352439969016266, 0.8853601859024013, 0.0015467904098994587, 0.03557617942768755, 0.9318181818181818, 1.0, 0.0, 0.0, 0.0, 0.0, 0.03402938901778809, -7.733952049497294E-4, 0.04949729311678268, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.5924207269914926, 0.5352439969016266, 0.8853601859024013, 7.733952049497294E-4, 0.03634957463263728, 0.9318181818181818, 1.0, 0.0, 0.0, 0.0, 0.0, 0.03248259860788863, -7.733952049497294E-4, 0.04795050270688322, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.534416086620263, 0.5073586367157242, 0.8853601859024013, 0.0030935808197989174, 0.037122969837587005, 0.9272727272727272, 1.0, 0.0, 0.0, 0.0, 0.0, 0.030935808197989172, -7.733952049497294E-4, 0.04640371229698376, -7.733952049497294E-4, 0.3333333333333333, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.5204949729311679, 0.5073586367157242, 0.8853601859024013, 0.002320185614849188, 0.03789636504253674, 0.9272727272727272, 1.0, 0.0, 0.0, 0.0, 0.0, 0.030935808197989172, -7.733952049497294E-4, 0.0448569218870843, -7.733952049497294E-4, 0.6666666666666666, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.5158546017014695, 0.5073586367157242, 0.8853601859024013, 0.0015467904098994587, 0.038669760247486466, 0.9272727272727272, 1.0, 0.0, 0.0, 0.0, 0.0, 0.030935808197989172, -7.733952049497294E-4, 0.04331013147718484, -7.733952049497294E-4, 0.6666666666666666, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.5112142304717711, 0.5073586367157242, 0.8853601859024013, 7.733952049497294E-4, 0.03944315545243619, 0.9272727272727272, 1.0, 0.0, 0.0, 0.0, 0.0, 0.030935808197989172, -7.733952049497294E-4, 0.04176334106728538, -7.733952049497294E-4, 0.6666666666666666, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.5065738592420727, 0.48876839659178933, 0.8853601859024013, 0.0030935808197989174, 0.04021655065738593, 0.9227272727272727, 1.0, 0.0, 0.0, 0.0, 0.0, 0.030935808197989172, -7.733952049497294E-4, 0.04021655065738593, -7.733952049497294E-4, 0.6666666666666666, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.5019334880123744, 0.48876839659178933, 0.8853601859024013, 0.002320185614849188, 0.040989945862335654, 0.9227272727272727, 1.0, 0.0, 0.0, 0.0, 0.0, 0.030935808197989172, -7.733952049497294E-4, 0.038669760247486466, -7.733952049497294E-4, 0.6666666666666666, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.49729311678267596, 0.48876839659178933, 0.8853601859024013, 0.0015467904098994587, 0.04176334106728538, 0.9227272727272727, 1.0, 0.0, 0.0, 0.0, 0.0, 0.030935808197989172, -7.733952049497294E-4, 0.037122969837587005, -7.733952049497294E-4, 0.6666666666666666, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.49265274555297756, 0.48876839659178933, 0.8853601859024013, 7.733952049497294E-4, 0.042536736272235115, 0.9227272727272727, 1.0, 0.0, 0.0, 0.0, 0.0, 0.030935808197989172, -7.733952049497294E-4, 0.03557617942768755, -7.733952049497294E-4, 0.6666666666666666, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.4880123743232792, 0.45313710302091403, 0.8853601859024013, 0.0030935808197989174, 0.04331013147718484, 0.9181818181818182, 1.0, 0.0, 0.0, 0.0, 0.0, 0.030935808197989172, -7.733952049497294E-4, 0.03402938901778809, -7.733952049497294E-4, 0.6666666666666666, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
0.0, 0.4833720030935808, 0.45313710302091403, 0.8853601859024013, 0.002320185614849188, 0.04408352668213457, 0.9181818181818182, 1.0, 0.0, 0.0, 0.0, 0.0, 0.030935808197989172, -7.733952049497294E-4, 0.03248259860788863, -7.733952049497294E-4, 0.6666666666666666, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
